snr,tbs,itbs,nr,bler
-11.7,256,6,64,0.0
-11.7,256,6,128,0.0
-11.7,256,8,1,1.0
-11.7,256,8,2,1.0
-11.7,256,8,4,1.0
-11.7,256,8,8,1.0
-11.7,256,8,16,0.999908447265625
-11.7,256,8,32,0.002410888671875
-11.7,256,8,64,0.0
-11.7,256,8,128,0.0
-11.599999999999998,256,0,1,1.0
-11.599999999999998,256,0,2,1.0
-11.599999999999998,256,0,4,0.90130615234375
-11.599999999999998,256,0,8,0.0
-11.599999999999998,256,0,16,0.0
-11.599999999999998,256,0,32,0.0
-11.599999999999998,256,0,64,0.0
-11.599999999999998,256,0,128,0.0
-11.599999999999998,256,1,1,1.0
-11.599999999999998,256,1,2,1.0
-11.599999999999998,256,1,4,0.999298095703125
-11.599999999999998,256,1,8,0.000701904296875
-11.599999999999998,256,1,16,0.0
-11.599999999999998,256,1,32,0.0
-11.599999999999998,256,1,64,0.0
-11.599999999999998,256,1,128,0.0
-11.599999999999998,256,2,1,1.0
-11.599999999999998,256,2,2,1.0
-11.599999999999998,256,2,4,1.0
-11.599999999999998,256,2,8,0.394561767578125
-11.599999999999998,256,2,16,0.0
-11.599999999999998,256,2,32,0.0
-11.599999999999998,256,2,64,0.0
-11.599999999999998,256,2,128,0.0
-11.599999999999998,256,3,1,1.0
-11.599999999999998,256,3,2,1.0
-11.599999999999998,256,3,4,1.0
-11.599999999999998,256,3,8,0.905029296875
-11.599999999999998,256,3,16,0.0
-11.599999999999998,256,3,32,0.0
-11.599999999999998,256,3,64,0.0
-11.599999999999998,256,3,128,0.0
-11.599999999999998,256,4,1,1.0
-11.599999999999998,256,4,2,1.0
-11.599999999999998,256,4,4,1.0
-11.599999999999998,256,4,8,0.999725341796875
-11.599999999999998,256,4,16,0.000701904296875
-11.599999999999998,256,4,32,0.0
-11.599999999999998,256,4,64,0.0
-11.599999999999998,256,4,128,0.0
-11.599999999999998,256,6,1,1.0
-11.599999999999998,256,6,2,1.0
-11.599999999999998,256,6,4,1.0
-11.599999999999998,256,6,8,1.0
-11.599999999999998,256,6,16,0.404632568359375
-11.599999999999998,256,6,32,0.0
-11.599999999999998,256,6,64,0.0
-11.599999999999998,256,6,128,0.0
-11.599999999999998,256,8,1,1.0
-11.599999999999998,256,8,2,1.0
-11.599999999999998,256,8,4,1.0
-11.599999999999998,256,8,8,1.0
-11.599999999999998,256,8,16,0.9996337890625
-11.599999999999998,256,8,32,0.0009765625
-11.599999999999998,256,8,64,0.0
-11.599999999999998,256,8,128,0.0
-11.5,256,0,1,1.0
-11.5,256,0,2,1.0
-11.5,256,0,4,0.8621826171875
-11.5,256,0,8,0.0
-11.5,256,0,16,0.0
-11.5,256,0,32,0.0
-11.5,256,0,64,0.0
-11.5,256,0,128,0.0
-11.5,256,1,1,1.0
-11.5,256,1,2,1.0
-11.5,256,1,4,0.998687744140625
-11.5,256,1,8,0.000244140625
-11.5,256,1,16,0.0
-11.5,256,1,32,0.0
-11.5,256,1,64,0.0
-11.5,256,1,128,0.0
-11.5,256,2,1,1.0
-11.5,256,2,2,1.0
-11.5,256,2,4,1.0
-11.5,256,2,8,0.31591796875
-11.5,256,2,16,0.0
-11.5,256,2,32,0.0
-11.5,256,2,64,0.0
-11.5,256,2,128,0.0
-11.5,256,3,1,1.0
-11.5,256,3,2,1.0
-11.5,256,3,4,1.0
-11.5,256,3,8,0.86444091796875
-11.5,256,3,16,0.0
-11.5,256,3,32,0.0
-11.5,256,3,64,0.0
-11.5,256,3,128,0.0
-11.5,256,4,1,1.0
-11.5,256,4,2,1.0
-11.5,256,4,4,1.0
-11.5,256,4,8,0.998992919921875
-11.5,256,4,16,0.00042724609375
-11.5,256,4,32,0.0
-11.5,256,4,64,0.0
-11.5,256,4,128,0.0
-11.5,256,6,1,1.0
-11.5,256,6,2,1.0
-11.5,256,6,4,1.0
-11.5,256,6,8,1.0
-11.5,256,6,16,0.31439208984375
-11.5,256,6,32,0.0
-11.5,256,6,64,0.0
-11.5,256,6,128,0.0
-11.5,256,8,1,1.0
-11.5,256,8,2,1.0
-11.5,256,8,4,1.0
-11.5,256,8,8,1.0
-11.5,256,8,16,0.999420166015625
-11.5,256,8,32,0.000732421875
-11.5,256,8,64,0.0
-11.5,256,8,128,0.0
-11.399999999999999,256,0,1,1.0
-11.399999999999999,256,0,2,1.0
-11.399999999999999,256,0,4,0.8104248046875
-11.399999999999999,256,0,8,0.0
-11.399999999999999,256,0,16,0.0
-11.399999999999999,256,0,32,0.0
-11.399999999999999,256,0,64,0.0
-11.399999999999999,256,0,128,0.0
-11.399999999999999,256,1,1,1.0
-11.399999999999999,256,1,2,1.0
-11.399999999999999,256,1,4,0.997528076171875
-11.399999999999999,256,1,8,0.000244140625
-11.399999999999999,256,1,16,0.0
-11.399999999999999,256,1,32,0.0
-11.399999999999999,256,1,64,0.0
-11.399999999999999,256,1,128,0.0
-11.399999999999999,256,2,1,1.0
-11.399999999999999,256,2,2,1.0
-11.399999999999999,256,2,4,1.0
-11.399999999999999,256,2,8,0.237548828125
-11.399999999999999,256,2,16,0.0
-11.399999999999999,256,2,32,0.0
-11.399999999999999,256,2,64,0.0
-11.399999999999999,256,2,128,0.0
-11.399999999999999,256,3,1,1.0
-11.399999999999999,256,3,2,1.0
-11.399999999999999,256,3,4,1.0
-11.399999999999999,256,3,8,0.80340576171875
-11.399999999999999,256,3,16,0.0
-11.399999999999999,256,3,32,0.0
-11.399999999999999,256,3,64,0.0
-11.399999999999999,256,3,128,0.0
-11.399999999999999,256,4,1,1.0
-11.399999999999999,256,4,2,1.0
-11.399999999999999,256,4,4,1.0
-11.399999999999999,256,4,8,0.998138427734375
-11.399999999999999,256,4,16,0.000335693359375
-11.399999999999999,256,4,32,0.0
-11.399999999999999,256,4,64,0.0
-11.399999999999999,256,4,128,0.0
-11.399999999999999,256,6,1,1.0
-11.399999999999999,256,6,2,1.0
-11.399999999999999,256,6,4,1.0
-11.399999999999999,256,6,8,1.0
-11.399999999999999,256,6,16,0.241180419921875
-11.399999999999999,256,6,32,0.0
-11.399999999999999,256,6,64,0.0
-11.399999999999999,256,6,128,0.0
-11.399999999999999,256,8,1,1.0
-11.399999999999999,256,8,2,1.0
-11.399999999999999,256,8,4,1.0
-11.399999999999999,256,8,8,1.0
-11.399999999999999,256,8,16,0.999298095703125
-11.399999999999999,256,8,32,0.00042724609375
-11.399999999999999,256,8,64,0.0
-11.399999999999999,256,8,128,0.0
-11.3,256,0,1,1.0
-11.3,256,0,2,1.0
-11.3,256,0,4,0.748687744140625
-11.3,256,0,8,0.0
-11.3,256,0,16,0.0
-11.3,256,0,32,0.0
-11.3,256,0,64,0.0
-11.3,256,0,128,0.0
-11.3,256,1,1,1.0
-11.3,256,1,2,1.0
-11.3,256,1,4,0.9951171875
-11.3,256,1,8,9.1552734375e-05
-11.3,256,1,16,0.0
-11.3,256,1,32,0.0
-11.3,256,1,64,0.0
-11.3,256,1,128,0.0
-11.3,256,2,1,1.0
-11.3,256,2,2,1.0
-11.3,256,2,4,1.0
-11.3,256,2,8,0.18023681640625
-11.3,256,2,16,0.0
-11.3,256,2,32,0.0
-11.3,256,2,64,0.0
-11.3,256,2,128,0.0
-11.3,256,3,1,1.0
-11.3,256,3,2,1.0
-11.3,256,3,4,1.0
-11.3,256,3,8,0.74151611328125
-11.3,256,3,16,0.0
-11.3,256,3,32,0.0
-11.3,256,3,64,0.0
-11.3,256,3,128,0.0
-11.3,256,4,1,1.0
-11.3,256,4,2,1.0
-11.3,256,4,4,1.0
-11.3,256,4,8,0.99664306640625
-11.3,256,4,16,0.0001220703125
-11.3,256,4,32,0.0
-11.3,256,4,64,0.0
-11.3,256,4,128,0.0
-11.3,256,6,1,1.0
-11.3,256,6,2,1.0
-11.3,256,6,4,1.0
-11.3,256,6,8,1.0
-11.3,256,6,16,0.1795654296875
-11.3,256,6,32,0.0
-11.3,256,6,64,0.0
-11.3,256,6,128,0.0
-11.3,256,8,1,1.0
-11.3,256,8,2,1.0
-11.3,256,8,4,1.0
-11.3,256,8,8,1.0
-11.3,256,8,16,0.99755859375
-11.3,256,8,32,0.00042724609375
-11.3,256,8,64,0.0
-11.3,256,8,128,0.0
-11.2,256,0,1,1.0
-11.2,256,0,2,1.0
-11.2,256,0,4,0.672119140625
-11.2,256,0,8,0.0
-11.2,256,0,16,0.0
-11.2,256,0,32,0.0
-11.2,256,0,64,0.0
-11.2,256,0,128,0.0
-11.2,256,1,1,1.0
-11.2,256,1,2,1.0
-11.2,256,1,4,0.992523193359375
-11.2,256,1,8,0.0001220703125
-11.2,256,1,16,0.0
-11.2,256,1,32,0.0
-11.2,256,1,64,0.0
-11.2,256,1,128,0.0
-11.2,256,2,1,1.0
-11.2,256,2,2,1.0
-11.2,256,2,4,1.0
-11.2,256,2,8,0.125335693359375
-11.2,256,2,16,0.0
-11.2,256,2,32,0.0
-11.2,256,2,64,0.0
-11.2,256,2,128,0.0
-11.2,256,3,1,1.0
-11.2,256,3,2,1.0
-11.2,256,3,4,1.0
-11.2,256,3,8,0.673858642578125
-11.2,256,3,16,0.0
-11.2,256,3,32,0.0
-11.2,256,3,64,0.0
-11.2,256,3,128,0.0
-11.2,256,4,1,1.0
-11.2,256,4,2,1.0
-11.2,256,4,4,1.0
-11.2,256,4,8,0.99359130859375
-11.2,256,4,16,0.0001220703125
-11.2,256,4,32,0.0
-11.2,256,4,64,0.0
-11.2,256,4,128,0.0
-11.2,256,6,1,1.0
-11.2,256,6,2,1.0
-11.2,256,6,4,1.0
-11.2,256,6,8,1.0
-11.2,256,6,16,0.127349853515625
-11.2,256,6,32,0.0
-11.2,256,6,64,0.0
-11.2,256,6,128,0.0
-11.2,256,8,1,1.0
-11.2,256,8,2,1.0
-11.2,256,8,4,1.0
-11.2,256,8,8,1.0
-11.2,256,8,16,0.996673583984375
-11.2,256,8,32,0.0001220703125
-11.2,256,8,64,0.0
-11.2,256,8,128,0.0
-11.099999999999998,256,0,1,1.0
-11.099999999999998,256,0,2,1.0
-11.099999999999998,256,0,4,0.585845947265625
-11.099999999999998,256,0,8,0.0
-11.099999999999998,256,0,16,0.0
-11.099999999999998,256,0,32,0.0
-11.099999999999998,256,0,64,0.0
-11.099999999999998,256,0,128,0.0
-11.099999999999998,256,1,1,1.0
-11.099999999999998,256,1,2,1.0
-11.099999999999998,256,1,4,0.985504150390625
-11.099999999999998,256,1,8,6.103515625e-05
-11.099999999999998,256,1,16,0.0
-11.099999999999998,256,1,32,0.0
-11.099999999999998,256,1,64,0.0
-11.099999999999998,256,1,128,0.0
-11.099999999999998,256,2,1,1.0
-11.099999999999998,256,2,2,1.0
-11.099999999999998,256,2,4,1.0
-11.099999999999998,256,2,8,0.081634521484375
-11.099999999999998,256,2,16,0.0
-11.099999999999998,256,2,32,0.0
-11.099999999999998,256,2,64,0.0
-11.099999999999998,256,2,128,0.0
-11.099999999999998,256,3,1,1.0
-11.099999999999998,256,3,2,1.0
-11.099999999999998,256,3,4,1.0
-11.099999999999998,256,3,8,0.58575439453125
-11.099999999999998,256,3,16,0.0
-11.099999999999998,256,3,32,0.0
-11.099999999999998,256,3,64,0.0
-11.099999999999998,256,3,128,0.0
-11.099999999999998,256,4,1,1.0
-11.099999999999998,256,4,2,1.0
-11.099999999999998,256,4,4,1.0
-11.099999999999998,256,4,8,0.989532470703125
-11.099999999999998,256,4,16,9.1552734375e-05
-11.099999999999998,256,4,32,0.0
-11.099999999999998,256,4,64,0.0
-11.099999999999998,256,4,128,0.0
-11.099999999999998,256,6,1,1.0
-11.099999999999998,256,6,2,1.0
-11.099999999999998,256,6,4,1.0
-11.099999999999998,256,6,8,1.0
-11.099999999999998,256,6,16,0.084228515625
-11.099999999999998,256,6,32,0.0
-11.099999999999998,256,6,64,0.0
-11.099999999999998,256,6,128,0.0
-11.099999999999998,256,8,1,1.0
-11.099999999999998,256,8,2,1.0
-11.099999999999998,256,8,4,1.0
-11.099999999999998,256,8,8,1.0
-11.099999999999998,256,8,16,0.993499755859375
-11.099999999999998,256,8,32,0.000152587890625
-11.099999999999998,256,8,64,0.0
-11.099999999999998,256,8,128,0.0
-11.0,256,0,1,1.0
-11.0,256,0,2,1.0
-11.0,256,0,4,0.500091552734375
-11.0,256,0,8,0.0
-11.0,256,0,16,0.0
-11.0,256,0,32,0.0
-11.0,256,0,64,0.0
-11.0,256,0,128,0.0
-11.0,256,1,1,1.0
-11.0,256,1,2,1.0
-11.0,256,1,4,0.976715087890625
-11.0,256,1,8,6.103515625e-05
-11.0,256,1,16,0.0
-11.0,256,1,32,0.0
-11.0,256,1,64,0.0
-11.0,256,1,128,0.0
-11.0,256,2,1,1.0
-11.0,256,2,2,1.0
-11.0,256,2,4,1.0
-11.0,256,2,8,0.055694580078125
-11.0,256,2,16,0.0
-11.0,256,2,32,0.0
-11.0,256,2,64,0.0
-11.0,256,2,128,0.0
-11.0,256,3,1,1.0
-11.0,256,3,2,1.0
-11.0,256,3,4,1.0
-11.0,256,3,8,0.502899169921875
-11.0,256,3,16,0.0
-11.0,256,3,32,0.0
-11.0,256,3,64,0.0
-11.0,256,3,128,0.0
-11.0,256,4,1,1.0
-11.0,256,4,2,1.0
-11.0,256,4,4,1.0
-11.0,256,4,8,0.98138427734375
-11.0,256,4,16,3.0517578125e-05
-11.0,256,4,32,0.0
-11.0,256,4,64,0.0
-11.0,256,4,128,0.0
-11.0,256,6,1,1.0
-11.0,256,6,2,1.0
-11.0,256,6,4,1.0
-11.0,256,6,8,1.0
-11.0,256,6,16,0.051849365234375
-11.0,256,6,32,0.0
-11.0,256,6,64,0.0
-11.0,256,6,128,0.0
-11.0,256,8,1,1.0
-11.0,256,8,2,1.0
-11.0,256,8,4,1.0
-11.0,256,8,8,1.0
-11.0,256,8,16,0.98870849609375
-11.0,256,8,32,0.0001220703125
-11.0,256,8,64,0.0
-11.0,256,8,128,0.0
-10.899999999999999,256,0,1,1.0
-10.899999999999999,256,0,2,1.0
-10.899999999999999,256,0,4,0.4114990234375
-10.899999999999999,256,0,8,0.0
-10.899999999999999,256,0,16,0.0
-10.899999999999999,256,0,32,0.0
-10.899999999999999,256,0,64,0.0
-10.899999999999999,256,0,128,0.0
-10.899999999999999,256,1,1,1.0
-10.899999999999999,256,1,2,1.0
-10.899999999999999,256,1,4,0.963592529296875
-10.899999999999999,256,1,8,0.0
-10.899999999999999,256,1,16,0.0
-10.899999999999999,256,1,32,0.0
-10.899999999999999,256,1,64,0.0
-10.899999999999999,256,1,128,0.0
-10.899999999999999,256,2,1,1.0
-10.899999999999999,256,2,2,1.0
-10.899999999999999,256,2,4,1.0
-10.899999999999999,256,2,8,0.032562255859375
-10.899999999999999,256,2,16,0.0
-10.899999999999999,256,2,32,0.0
-10.899999999999999,256,2,64,0.0
-10.899999999999999,256,2,128,0.0
-10.899999999999999,256,3,1,1.0
-10.899999999999999,256,3,2,1.0
-10.899999999999999,256,3,4,1.0
-10.899999999999999,256,3,8,0.410491943359375
-10.899999999999999,256,3,16,0.0
-10.899999999999999,256,3,32,0.0
-10.899999999999999,256,3,64,0.0
-10.899999999999999,256,3,128,0.0
-10.899999999999999,256,4,1,1.0
-10.899999999999999,256,4,2,1.0
-10.899999999999999,256,4,4,1.0
-10.899999999999999,256,4,8,0.970428466796875
-10.899999999999999,256,4,16,6.103515625e-05
-10.899999999999999,256,4,32,0.0
-10.899999999999999,256,4,64,0.0
-10.899999999999999,256,4,128,0.0
-10.899999999999999,256,6,1,1.0
-10.899999999999999,256,6,2,1.0
-10.899999999999999,256,6,4,1.0
-10.899999999999999,256,6,8,1.0
-10.899999999999999,256,6,16,0.032196044921875
-10.899999999999999,256,6,32,0.0
-10.899999999999999,256,6,64,0.0
-10.899999999999999,256,6,128,0.0
-10.899999999999999,256,8,1,1.0
-10.899999999999999,256,8,2,1.0
-10.899999999999999,256,8,4,1.0
-10.899999999999999,256,8,8,1.0
-10.899999999999999,256,8,16,0.982421875
-10.899999999999999,256,8,32,0.0
-10.899999999999999,256,8,64,0.0
-10.899999999999999,256,8,128,0.0
-10.799999999999997,256,0,1,1.0
-10.799999999999997,256,0,2,1.0
-10.799999999999997,256,0,4,0.327178955078125
-10.799999999999997,256,0,8,0.0
-10.799999999999997,256,0,16,0.0
-10.799999999999997,256,0,32,0.0
-10.799999999999997,256,0,64,0.0
-10.799999999999997,256,0,128,0.0
-10.799999999999997,256,1,1,1.0
-10.799999999999997,256,1,2,1.0
-10.799999999999997,256,1,4,0.94317626953125
-10.799999999999997,256,1,8,0.0
-10.799999999999997,256,1,16,0.0
-10.799999999999997,256,1,32,0.0
-10.799999999999997,256,1,64,0.0
-10.799999999999997,256,1,128,0.0
-10.799999999999997,256,2,1,1.0
-10.799999999999997,256,2,2,1.0
-10.799999999999997,256,2,4,1.0
-10.799999999999997,256,2,8,0.01824951171875
-10.799999999999997,256,2,16,0.0
-10.799999999999997,256,2,32,0.0
-10.799999999999997,256,2,64,0.0
-10.799999999999997,256,2,128,0.0
-10.799999999999997,256,3,1,1.0
-10.799999999999997,256,3,2,1.0
-10.799999999999997,256,3,4,1.0
-10.799999999999997,256,3,8,0.330352783203125
-10.799999999999997,256,3,16,0.0
-10.799999999999997,256,3,32,0.0
-10.799999999999997,256,3,64,0.0
-10.799999999999997,256,3,128,0.0
-10.799999999999997,256,4,1,1.0
-10.799999999999997,256,4,2,1.0
-10.799999999999997,256,4,4,1.0
-10.799999999999997,256,4,8,0.9521484375
-10.799999999999997,256,4,16,0.0
-10.799999999999997,256,4,32,0.0
-10.799999999999997,256,4,64,0.0
-10.799999999999997,256,4,128,0.0
-10.799999999999997,256,6,1,1.0
-10.799999999999997,256,6,2,1.0
-10.799999999999997,256,6,4,1.0
-10.799999999999997,256,6,8,1.0
-10.799999999999997,256,6,16,0.018890380859375
-10.799999999999997,256,6,32,0.0
-10.799999999999997,256,6,64,0.0
-10.799999999999997,256,6,128,0.0
-10.799999999999997,256,8,1,1.0
-10.799999999999997,256,8,2,1.0
-10.799999999999997,256,8,4,1.0
-10.799999999999997,256,8,8,1.0
-10.799999999999997,256,8,16,0.970733642578125
-10.799999999999997,256,8,32,0.0
-10.799999999999997,256,8,64,0.0
-10.799999999999997,256,8,128,0.0
-10.7,256,0,1,1.0
-10.7,256,0,2,1.0
-10.7,256,0,4,0.253173828125
-10.7,256,0,8,0.0
-10.7,256,0,16,0.0
-10.7,256,0,32,0.0
-10.7,256,0,64,0.0
-10.7,256,0,128,0.0
-10.7,256,1,1,1.0
-10.7,256,1,2,1.0
-10.7,256,1,4,0.918914794921875
-10.7,256,1,8,0.0
-10.7,256,1,16,0.0
-10.7,256,1,32,0.0
-10.7,256,1,64,0.0
-10.7,256,1,128,0.0
-10.7,256,2,1,1.0
-10.7,256,2,2,1.0
-10.7,256,2,4,1.0
-10.7,256,2,8,0.01123046875
-10.7,256,2,16,0.0
-10.7,256,2,32,0.0
-10.7,256,2,64,0.0
-10.7,256,2,128,0.0
-10.7,256,3,1,1.0
-10.7,256,3,2,1.0
-10.7,256,3,4,1.0
-10.7,256,3,8,0.247802734375
-10.7,256,3,16,0.0
-10.7,256,3,32,0.0
-10.7,256,3,64,0.0
-10.7,256,3,128,0.0
-10.7,256,4,1,1.0
-10.7,256,4,2,1.0
-10.7,256,4,4,1.0
-10.7,256,4,8,0.93048095703125
-10.7,256,4,16,0.0
-10.7,256,4,32,0.0
-10.7,256,4,64,0.0
-10.7,256,4,128,0.0
-10.7,256,6,1,1.0
-10.7,256,6,2,1.0
-10.7,256,6,4,1.0
-10.7,256,6,8,0.999969482421875
-10.7,256,6,16,0.0108642578125
-10.7,256,6,32,0.0
-10.7,256,6,64,0.0
-10.7,256,6,128,0.0
-10.7,256,8,1,1.0
-10.7,256,8,2,1.0
-10.7,256,8,4,1.0
-10.7,256,8,8,1.0
-10.7,256,8,16,0.955902099609375
-10.7,256,8,32,0.0
-10.7,256,8,64,0.0
-10.7,256,8,128,0.0
-10.599999999999998,256,0,1,1.0
-10.599999999999998,256,0,2,1.0
-10.599999999999998,256,0,4,0.18231201171875
-10.599999999999998,256,0,8,0.0
-10.599999999999998,256,0,16,0.0
-10.599999999999998,256,0,32,0.0
-10.599999999999998,256,0,64,0.0
-10.599999999999998,256,0,128,0.0
-10.599999999999998,256,1,1,1.0
-10.599999999999998,256,1,2,1.0
-10.599999999999998,256,1,4,0.87646484375
-10.599999999999998,256,1,8,0.0
-10.599999999999998,256,1,16,0.0
-10.599999999999998,256,1,32,0.0
-10.599999999999998,256,1,64,0.0
-10.599999999999998,256,1,128,0.0
-10.599999999999998,256,2,1,1.0
-10.599999999999998,256,2,2,1.0
-10.599999999999998,256,2,4,0.99993896484375
-10.599999999999998,256,2,8,0.005279541015625
-10.599999999999998,256,2,16,0.0
-10.599999999999998,256,2,32,0.0
-10.599999999999998,256,2,64,0.0
-10.599999999999998,256,2,128,0.0
-10.599999999999998,256,3,1,1.0
-10.599999999999998,256,3,2,1.0
-10.599999999999998,256,3,4,1.0
-10.599999999999998,256,3,8,0.18133544921875
-10.599999999999998,256,3,16,0.0
-10.599999999999998,256,3,32,0.0
-10.599999999999998,256,3,64,0.0
-10.599999999999998,256,3,128,0.0
-10.599999999999998,256,4,1,1.0
-10.599999999999998,256,4,2,1.0
-10.599999999999998,256,4,4,1.0
-10.599999999999998,256,4,8,0.897735595703125
-10.599999999999998,256,4,16,0.0
-10.599999999999998,256,4,32,0.0
-10.599999999999998,256,4,64,0.0
-10.599999999999998,256,4,128,0.0
-10.599999999999998,256,6,1,1.0
-10.599999999999998,256,6,2,1.0
-10.599999999999998,256,6,4,1.0
-10.599999999999998,256,6,8,0.999908447265625
-10.599999999999998,256,6,16,0.00592041015625
-10.599999999999998,256,6,32,0.0
-10.599999999999998,256,6,64,0.0
-10.599999999999998,256,6,128,0.0
-10.599999999999998,256,8,1,1.0
-10.599999999999998,256,8,2,1.0
-10.599999999999998,256,8,4,1.0
-10.599999999999998,256,8,8,1.0
-10.599999999999998,256,8,16,0.93035888671875
-10.599999999999998,256,8,32,0.0
-10.599999999999998,256,8,64,0.0
-10.599999999999998,256,8,128,0.0
-10.5,256,0,1,1.0
-10.5,256,0,2,1.0
-10.5,256,0,4,0.126373291015625
-10.5,256,0,8,0.0
-10.5,256,0,16,0.0
-10.5,256,0,32,0.0
-10.5,256,0,64,0.0
-10.5,256,0,128,0.0
-10.5,256,1,1,1.0
-10.5,256,1,2,1.0
-10.5,256,1,4,0.8341064453125
-10.5,256,1,8,0.0
-10.5,256,1,16,0.0
-10.5,256,1,32,0.0
-10.5,256,1,64,0.0
-10.5,256,1,128,0.0
-10.5,256,2,1,1.0
-10.5,256,2,2,1.0
-10.5,256,2,4,0.99981689453125
-10.5,256,2,8,0.003143310546875
-10.5,256,2,16,0.0
-10.5,256,2,32,0.0
-10.5,256,2,64,0.0
-10.5,256,2,128,0.0
-10.5,256,3,1,1.0
-10.5,256,3,2,1.0
-10.5,256,3,4,1.0
-10.5,256,3,8,0.1318359375
-10.5,256,3,16,0.0
-10.5,256,3,32,0.0
-10.5,256,3,64,0.0
-10.5,256,3,128,0.0
-10.5,256,4,1,1.0
-10.5,256,4,2,1.0
-10.5,256,4,4,1.0
-10.5,256,4,8,0.856353759765625
-10.5,256,4,16,0.0
-10.5,256,4,32,0.0
-10.5,256,4,64,0.0
-10.5,256,4,128,0.0
-10.5,256,6,1,1.0
-10.5,256,6,2,1.0
-10.5,256,6,4,1.0
-10.5,256,6,8,0.99981689453125
-10.5,256,6,16,0.002655029296875
-10.5,256,6,32,0.0
-10.5,256,6,64,0.0
-10.5,256,6,128,0.0
-10.5,256,8,1,1.0
-10.5,256,8,2,1.0
-10.5,256,8,4,1.0
-10.5,256,8,8,1.0
-10.5,256,8,16,0.89691162109375
-10.5,256,8,32,0.0
-10.5,256,8,64,0.0
-10.5,256,8,128,0.0
-10.399999999999999,256,0,1,1.0
-10.399999999999999,256,0,2,1.0
-10.399999999999999,256,0,4,0.085052490234375
-10.399999999999999,256,0,8,0.0
-10.399999999999999,256,0,16,0.0
-10.399999999999999,256,0,32,0.0
-10.399999999999999,256,0,64,0.0
-10.399999999999999,256,0,128,0.0
-10.399999999999999,256,1,1,1.0
-10.399999999999999,256,1,2,1.0
-10.399999999999999,256,1,4,0.776336669921875
-10.399999999999999,256,1,8,0.0
-10.399999999999999,256,1,16,0.0
-10.399999999999999,256,1,32,0.0
-10.399999999999999,256,1,64,0.0
-10.399999999999999,256,1,128,0.0
-10.399999999999999,256,2,1,1.0
-10.399999999999999,256,2,2,1.0
-10.399999999999999,256,2,4,0.99969482421875
-10.399999999999999,256,2,8,0.001373291015625
-10.399999999999999,256,2,16,0.0
-10.399999999999999,256,2,32,0.0
-10.399999999999999,256,2,64,0.0
-10.399999999999999,256,2,128,0.0
-10.399999999999999,256,3,1,1.0
-10.399999999999999,256,3,2,1.0
-10.399999999999999,256,3,4,1.0
-10.399999999999999,256,3,8,0.086944580078125
-10.399999999999999,256,3,16,0.0
-10.399999999999999,256,3,32,0.0
-10.399999999999999,256,3,64,0.0
-10.399999999999999,256,3,128,0.0
-10.399999999999999,256,4,1,1.0
-10.399999999999999,256,4,2,1.0
-10.399999999999999,256,4,4,1.0
-10.399999999999999,256,4,8,0.79803466796875
-10.399999999999999,256,4,16,0.0
-10.399999999999999,256,4,32,0.0
-10.399999999999999,256,4,64,0.0
-10.399999999999999,256,4,128,0.0
-10.399999999999999,256,6,1,1.0
-10.399999999999999,256,6,2,1.0
-10.399999999999999,256,6,4,1.0
-10.399999999999999,256,6,8,0.9996337890625
-10.399999999999999,256,6,16,0.00152587890625
-10.399999999999999,256,6,32,0.0
-10.399999999999999,256,6,64,0.0
-10.399999999999999,256,6,128,0.0
-10.399999999999999,256,8,1,1.0
-10.399999999999999,256,8,2,1.0
-10.399999999999999,256,8,4,1.0
-10.399999999999999,256,8,8,1.0
-10.399999999999999,256,8,16,0.85955810546875
-10.399999999999999,256,8,32,0.0
-10.399999999999999,256,8,64,0.0
-10.399999999999999,256,8,128,0.0
-10.299999999999997,256,0,1,1.0
-10.299999999999997,256,0,2,1.0
-10.299999999999997,256,0,4,0.055572509765625
-10.299999999999997,256,0,8,0.0
-10.299999999999997,256,0,16,0.0
-10.299999999999997,256,0,32,0.0
-10.299999999999997,256,0,64,0.0
-10.299999999999997,256,0,128,0.0
-10.299999999999997,256,1,1,1.0
-10.299999999999997,256,1,2,1.0
-10.299999999999997,256,1,4,0.706695556640625
-10.299999999999997,256,1,8,0.0
-10.299999999999997,256,1,16,0.0
-10.299999999999997,256,1,32,0.0
-10.299999999999997,256,1,64,0.0
-10.299999999999997,256,1,128,0.0
-10.299999999999997,256,2,1,1.0
-10.299999999999997,256,2,2,1.0
-10.299999999999997,256,2,4,0.99951171875
-10.299999999999997,256,2,8,0.00079345703125
-10.299999999999997,256,2,16,0.0
-10.299999999999997,256,2,32,0.0
-10.299999999999997,256,2,64,0.0
-10.299999999999997,256,2,128,0.0
-10.299999999999997,256,3,1,1.0
-10.299999999999997,256,3,2,1.0
-10.299999999999997,256,3,4,1.0
-10.299999999999997,256,3,8,0.0556640625
-10.299999999999997,256,3,16,0.0
-10.299999999999997,256,3,32,0.0
-10.299999999999997,256,3,64,0.0
-10.299999999999997,256,3,128,0.0
-10.299999999999997,256,4,1,1.0
-10.299999999999997,256,4,2,1.0
-10.299999999999997,256,4,4,1.0
-10.299999999999997,256,4,8,0.73760986328125
-10.299999999999997,256,4,16,0.0
-10.299999999999997,256,4,32,0.0
-10.299999999999997,256,4,64,0.0
-10.299999999999997,256,4,128,0.0
-10.299999999999997,256,6,1,1.0
-10.299999999999997,256,6,2,1.0
-10.299999999999997,256,6,4,1.0
-10.299999999999997,256,6,8,0.99957275390625
